,CMU1,CUBoulder1,Amherst1,UChicago1,Princeton1,ND1,Cornell2,Baruch1,Harvard1,UCBerkeley1,StBon1,UChicago3,Indiana1,Iowa1,UChicago4,ND2,Dartmouth2,UChicago5,Columbia1,CMU2,Amherst2
1278,-8.92E-06,-0.000223107,0.000159125,-0.000196588,2.72E-05,6.43E-05,0.000168288,0.000157026,0.000138693,-2.58E-05,8.57E-05,7.38E-05,0.000113567,9.96E-05,4.39E-05,6.56E-05,6.04E-05,0,-0.000184971,-0.000274016,0.00018164
1279,-0.000140035,-0.00062401,-0.000114582,3.17E-05,0.000190465,0.000188383,-0.000108378,-2.08E-05,-8.19E-05,2.64E-05,3.92E-05,-0.000152076,-0.000347347,-6.54E-06,-0.000146286,7.62E-06,0.000159512,0,6.48E-06,-0.000341505,-0.000102042
1280,-0.000127264,1.16E-05,9.72E-05,0.000197033,0.000116974,0.000279952,6.95E-05,0.000109,0.000153461,0.00014694,0.000103932,0.000204869,0.000771363,2.78E-05,-5.25E-05,0.000167719,0.000341341,0,0.0002737,-0.00074151,0.00011103
1281,-0.0001829,-0.000496836,-0.000160893,5.65E-05,-3.93E-05,-0.000125142,-0.000109536,0.000116275,-0.000116771,1.72E-05,6.97E-06,-6.45E-06,-0.000433206,8.71E-05,-7.69E-05,-0.000172329,-8.77E-05,0,4.35E-05,-5.72E-05,-0.000168395
1282,0.000117581,-0.00039733,-0.000137253,-5.90E-05,-0.000798667,-0.000168604,-0.000170891,-0.000130961,-0.000158199,-5.88E-05,3.63E-05,0.000119233,-0.000495056,0.00029263,9.48E-05,-0.000214695,-0.000118998,0,-0.000180053,-2.04E-05,-0.000141903
1283,0.000102756,0.000200439,9.96E-05,-4.96E-06,0.000465804,-3.74E-06,8.13E-05,0.000274804,0.000115465,-6.94E-06,3.62E-05,0.000139505,0.000944796,-0.000265167,0.000150794,-3.45E-05,1.83E-05,0,8.81E-05,0.000600739,0.00012662
1284,-6.36E-05,0.000583624,0.00014597,9.41E-06,0.000162605,5.94E-05,0.000124074,-0.000110033,0.000165587,6.45E-05,0.000265199,-2.28E-05,4.00E-05,-0.000142198,0.000189433,6.14E-05,3.54E-05,0,0.000211197,-0.000164982,0.000165473
1285,-7.70E-06,-0.000158757,0.000121456,-9.53E-05,-0.000186678,-0.000359798,0.000115801,-1.74E-05,9.23E-05,-0.000100353,2.75E-05,0.000175317,-0.000791483,0.000240658,8.51E-05,-5.41E-05,-0.000291106,0,-0.000359489,-0.000151034,8.44E-05
1286,-0.000172147,0.000508022,8.03E-05,2.17E-05,3.07E-05,4.24E-05,5.48E-05,5.28E-05,8.21E-05,5.98E-05,3.71E-05,-0.000262902,0.000372287,4.88E-05,6.66E-05,-1.57E-05,6.22E-05,0,0.000132834,-0.000104163,9.03E-05
1287,0.000126554,6.75E-05,-0.000119165,2.24E-05,-0.000117953,-0.000400374,-6.52E-05,-3.04E-05,-6.91E-05,-0.000138129,-0.000179085,-2.75E-05,0.000431714,-1.64E-05,-3.02E-05,-0.000354969,-0.000381315,0,-0.000304016,0.000119605,-0.000111564
1288,0.000130894,-0.000336648,-0.000114541,-4.09E-05,-0.000516147,-0.000135911,-0.00012976,-3.97E-05,-0.000134325,-5.43E-05,8.97E-07,-6.81E-05,-2.68E-06,0.000218232,0.000131588,-0.000151313,-0.000180547,0,-0.000300354,0.000151217,-0.000132178
1289,-0.000250347,0.00049505,5.17E-05,-8.87E-05,6.29E-06,0.00022608,7.54E-05,8.31E-05,5.80E-05,-3.51E-05,5.89E-06,-5.18E-05,-0.000550811,0.000275903,-3.76E-05,0.000287451,0.000203024,0,-0.000237562,0.00040699,3.69E-05
1290,-0.000103826,-0.000231342,-0.000136193,-0.000219243,-0.000145218,-0.000215644,-0.000167311,-2.34E-05,-0.000210407,-4.28E-05,-7.39E-05,3.45E-05,-8.16E-05,-5.57E-05,-6.84E-05,-0.000294426,-0.000112362,0,-4.71E-05,0.000381533,-0.000118129
1291,1.36E-05,0.000607482,0.000249794,-8.00E-05,-2.08E-05,-0.000139858,0.000235541,7.76E-05,0.000272202,6.22E-05,0.000216984,0.000116461,-0.000389757,-6.64E-05,0.000311332,5.79E-05,-6.88E-05,0,-7.23E-05,-0.00013663,0.000277444
